# mhalo_obs[Msun]   sigma_raw  sigma_fit  alphaE/alphaM  vir_temp[K]  cgm_temp[K]
4.641588834e+11 2.012179745e-02 3.541956217e-03 1.291549665e+01 2.958056501e+05 4.682597279e+06
4.641588834e+11 2.035506311e-02 4.702679351e-03 4.641588834e+00 2.958056501e+05 4.682597279e+06
4.641588834e+11 1.946851548e-02 4.966560787e-03 1.668100537e+00 2.958056495e+05 1.319597208e+06
4.641588834e+11 1.833097966e-02 5.557659702e-03 5.994842503e-01 2.958056495e+05 1.319597208e+06
4.641588834e+11 1.696221711e-02 5.068766867e-03 2.154434690e-01 2.958056308e+05 1.426445396e+06
4.641588834e+11 1.582966766e-02 4.941042134e-03 7.742636827e-02 2.958056308e+05 1.426445396e+06
4.641588834e+11 1.503781127e-02 5.126428355e-03 2.782559402e-02 2.958056187e+05 8.688233664e+05
4.641588834e+11 1.471078657e-02 5.398994375e-03 1.000000000e-02 2.958056187e+05 8.688233664e+05
1.000000000e+12 2.066274703e-02 3.458239296e-03 1.000000000e+02 2.958056151e+05 4.478123771e+05
1.000000000e+12 2.061123724e-02 3.684459564e-03 3.593813664e+01 2.958056151e+05 4.478123771e+05
1.000000000e+12 2.064010341e-02 4.995252269e-03 1.291549665e+01 2.958056158e+05 2.194690816e+05
1.000000000e+12 2.101836045e-02 5.576662232e-03 4.641588834e+00 2.958056158e+05 2.194690816e+05
1.000000000e+12 2.008058085e-02 5.001852510e-03 1.668100537e+00 2.958056170e+05 1.279748180e+05
1.000000000e+12 1.886885275e-02 1.823235944e-03 5.994842503e-01 2.958056170e+05 1.279748180e+05
1.000000000e+12 1.761274673e-02 4.721908953e-03 2.154434690e-01 2.958056160e+05 9.381026925e+04
1.000000000e+12 1.650216261e-02 5.085773289e-03 7.742636827e-02 2.958056160e+05 9.381026925e+04
1.000000000e+12 1.565037807e-02 5.299110307e-03 2.782559402e-02 2.958056170e+05 8.156780884e+04
1.000000000e+12 1.516154411e-02 5.607937352e-03 1.000000000e-02 2.958056170e+05 8.156780884e+04
